Processes: 1
Size:  256 | Runs:     0.03 ms      0.06 ms         0.08 ms         0.11 ms         0.14 ms      | Avg Time:    22.05 ms
Size:  384 | Runs:     0.22 ms      0.32 ms         0.42 ms         0.52 ms         0.57 ms      | Avg Time:    82.54 ms
Size:  512 | Runs:     0.77 ms      0.96 ms         1.28 ms         1.55 ms         1.88 ms      | Avg Time:   250.49 ms
Size:  640 | Runs:     2.41 ms      2.89 ms         3.33 ms         3.88 ms         4.49 ms      | Avg Time:   504.49 ms
Size:  768 | Runs:     5.61 ms      6.78 ms         7.99 ms         9.50 ms        10.72 ms      | Avg Time:  1223.57 ms
Size:  896 | Runs:    12.39 ms     14.07 ms        16.03 ms        17.59 ms        19.11 ms      | Avg Time:  1644.49 ms
Size: 1024 | Runs:    22.51 ms     25.78 ms        28.92 ms        32.33 ms        35.37 ms      | Avg Time:  3210.86 ms
Size: 1152 | Runs:    39.80 ms     43.49 ms        47.51 ms        51.54 ms        55.88 ms      | Avg Time:  4055.36 ms
Size: 1280 | Runs:    62.25 ms     68.35 ms        75.02 ms        81.85 ms        88.68 ms      | Avg Time:  6495.68 ms
Size: 1408 | Runs:    97.35 ms    104.82 ms       112.88 ms       120.70 ms       128.93 ms      | Avg Time:  7977.88 ms
Size: 1536 | Runs:   142.48 ms    156.05 ms       169.49 ms       182.49 ms       195.58 ms      | Avg Time: 13239.53 ms
Size: 1664 | Runs:   210.41 ms    224.44 ms       239.72 ms       254.39 ms       269.43 ms      | Avg Time: 14665.44 ms
Size: 1792 | Runs:   289.51 ms    309.70 ms       330.65 ms       349.80 ms       369.94 ms      | Avg Time: 19976.27 ms
Size: 1920 | Runs:   392.88 ms    415.81 ms       439.93 ms       463.81 ms       487.42 ms      | Avg Time: 23359.30 ms
Size: 2048 | Runs:   567.08 ms    642.31 ms       728.66 ms       815.92 ms       900.16 ms      | Avg Time: 82382.12 ms

Processes: 5
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.01 ms         0.01 ms      | Avg Time:     2.39 ms
Size:  256 | Runs:     0.06 ms      0.09 ms         0.12 ms         0.14 ms         0.17 ms      | Avg Time:    27.48 ms
Size:  384 | Runs:     0.27 ms      0.36 ms         0.45 ms         0.53 ms         0.63 ms      | Avg Time:    85.78 ms
Size:  512 | Runs:     0.91 ms      1.23 ms         1.53 ms         1.82 ms         2.11 ms      | Avg Time:   283.88 ms
Size:  640 | Runs:     2.60 ms      3.12 ms         3.63 ms         4.07 ms         4.54 ms      | Avg Time:   469.22 ms
Size:  768 | Runs:     5.71 ms      6.85 ms         7.99 ms         9.19 ms        10.41 ms      | Avg Time:  1148.59 ms
Size:  896 | Runs:    11.93 ms     13.44 ms        14.97 ms        16.52 ms        18.11 ms      | Avg Time:  1508.86 ms
Size: 1024 | Runs:    21.16 ms     24.60 ms        27.81 ms        31.09 ms        34.24 ms      | Avg Time:  3181.39 ms
Size: 1152 | Runs:    38.05 ms     41.86 ms        45.71 ms        49.52 ms        53.05 ms      | Avg Time:  3704.58 ms
Size: 1280 | Runs:    59.14 ms     65.13 ms        71.21 ms        77.33 ms        83.55 ms      | Avg Time:  6031.98 ms
Size: 1408 | Runs:    91.09 ms     98.78 ms       106.28 ms       113.74 ms       121.49 ms      | Avg Time:  7510.61 ms
Size: 1536 | Runs:   133.43 ms    145.43 ms       157.39 ms       169.72 ms       181.91 ms      | Avg Time: 11984.12 ms
Size: 1664 | Runs:   194.95 ms    207.94 ms       221.47 ms       234.40 ms       247.58 ms      | Avg Time: 13021.98 ms
Size: 1792 | Runs:   265.12 ms    282.56 ms       300.08 ms       317.71 ms       335.32 ms      | Avg Time: 17415.26 ms
Size: 1920 | Runs:   356.00 ms    377.16 ms       398.55 ms       419.52 ms       441.09 ms      | Avg Time: 21008.40 ms
Size: 2048 | Runs:   509.65 ms    578.09 ms       646.86 ms       713.73 ms       779.31 ms      | Avg Time: 67477.29 ms

Processes: 6
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.01 ms         0.02 ms      | Avg Time:     2.67 ms
Size:  256 | Runs:     0.04 ms      0.07 ms         0.09 ms         0.12 ms         0.15 ms      | Avg Time:    22.86 ms
Size:  384 | Runs:     0.24 ms      0.32 ms         0.40 ms         0.49 ms         0.57 ms      | Avg Time:    78.28 ms
Size:  512 | Runs:     0.85 ms      1.13 ms         1.38 ms         1.67 ms         1.93 ms      | Avg Time:   259.66 ms
Size:  640 | Runs:     2.42 ms      2.88 ms         3.36 ms         3.80 ms         4.30 ms      | Avg Time:   454.73 ms
Size:  768 | Runs:     5.37 ms      6.46 ms         7.51 ms         8.61 ms         9.69 ms      | Avg Time:  1049.97 ms
Size:  896 | Runs:    11.14 ms     12.62 ms        14.08 ms        15.49 ms        17.03 ms      | Avg Time:  1433.57 ms
Size: 1024 | Runs:    19.91 ms     22.92 ms        26.05 ms        29.03 ms        32.12 ms      | Avg Time:  2969.28 ms
Size: 1152 | Runs:    35.76 ms     39.25 ms        42.75 ms        46.20 ms        49.73 ms      | Avg Time:  3463.17 ms
Size: 1280 | Runs:    55.50 ms     61.26 ms        67.28 ms        72.90 ms        78.63 ms      | Avg Time:  5708.15 ms
Size: 1408 | Runs:    85.58 ms     92.66 ms        99.51 ms       106.55 ms       113.81 ms      | Avg Time:  6949.16 ms
Size: 1536 | Runs:   124.98 ms    136.10 ms       147.37 ms       158.80 ms       169.99 ms      | Avg Time: 11130.12 ms
Size: 1664 | Runs:   182.64 ms    194.64 ms       206.84 ms       218.87 ms       231.14 ms      | Avg Time: 12110.04 ms
Size: 1792 | Runs:   247.86 ms    264.23 ms       280.79 ms       297.03 ms       313.28 ms      | Avg Time: 16284.50 ms
Size: 1920 | Runs:   332.53 ms    352.12 ms       372.10 ms       392.39 ms       412.49 ms      | Avg Time: 19686.22 ms
Size: 2048 | Runs:   490.40 ms    570.03 ms       642.60 ms       715.71 ms       786.15 ms      | Avg Time: 74555.15 ms

Processes: 7
Size:  128 | Runs:     0.00 ms      0.01 ms         0.01 ms         0.01 ms         0.02 ms      | Avg Time:     2.54 ms
Size:  256 | Runs:     0.04 ms      0.06 ms         0.08 ms         0.11 ms         0.14 ms      | Avg Time:    21.29 ms
Size:  384 | Runs:     0.22 ms      0.30 ms         0.38 ms         0.46 ms         0.54 ms      | Avg Time:    73.34 ms
Size:  512 | Runs:     0.82 ms      1.07 ms         1.31 ms         1.57 ms         1.83 ms      | Avg Time:   246.26 ms
Size:  640 | Runs:     2.25 ms      2.72 ms         3.21 ms         3.67 ms         4.11 ms      | Avg Time:   435.84 ms
Size:  768 | Runs:     5.16 ms      6.23 ms         7.26 ms         8.33 ms         9.36 ms      | Avg Time:  1023.60 ms
Size:  896 | Runs:    10.70 ms     12.06 ms        13.36 ms        14.69 ms        16.04 ms      | Avg Time:  1298.46 ms
Size: 1024 | Runs:    19.42 ms     22.42 ms        25.11 ms        27.76 ms        30.57 ms      | Avg Time:  2858.76 ms
Size: 1152 | Runs:    33.93 ms     37.16 ms        40.44 ms        43.81 ms        47.34 ms      | Avg Time:  3288.31 ms
Size: 1280 | Runs:    52.78 ms     58.28 ms        63.83 ms        69.38 ms        74.88 ms      | Avg Time:  5430.32 ms
Size: 1408 | Runs:    81.93 ms     88.85 ms        95.77 ms       102.73 ms       109.64 ms      | Avg Time:  6859.31 ms
Size: 1536 | Runs:   120.55 ms    131.22 ms       141.83 ms       152.32 ms       162.89 ms      | Avg Time: 10541.46 ms
Size: 1664 | Runs:   174.95 ms    187.09 ms       199.00 ms       210.91 ms       222.68 ms      | Avg Time: 11831.66 ms
Size: 1792 | Runs:   238.86 ms    254.78 ms       270.76 ms       287.07 ms       303.06 ms      | Avg Time: 15924.92 ms
Size: 1920 | Runs:   322.56 ms    342.07 ms       361.89 ms       381.54 ms       401.42 ms      | Avg Time: 19509.44 ms
Size: 2048 | Runs:   468.77 ms    535.98 ms       603.30 ms       671.04 ms       732.02 ms      | Avg Time: 65931.66 ms

Processes: 8
Size:  128 | Runs:     0.01 ms      0.01 ms         0.02 ms         0.03 ms         0.03 ms      | Avg Time:     5.77 ms
Size:  256 | Runs:     0.06 ms      0.08 ms         0.11 ms         0.14 ms         0.17 ms      | Avg Time:    23.87 ms
Size:  384 | Runs:     0.25 ms      0.33 ms         0.41 ms         0.49 ms         0.65 ms      | Avg Time:    87.42 ms
Size:  512 | Runs:     0.99 ms      1.26 ms         1.51 ms         1.80 ms         2.07 ms      | Avg Time:   271.39 ms
Size:  640 | Runs:     2.53 ms      3.01 ms         3.51 ms         3.94 ms         4.44 ms      | Avg Time:   454.21 ms
Size:  768 | Runs:     5.53 ms      6.59 ms         7.66 ms         8.72 ms         9.74 ms      | Avg Time:  1030.43 ms
Size:  896 | Runs:    11.03 ms     12.43 ms        13.80 ms        15.18 ms        16.54 ms      | Avg Time:  1321.08 ms
Size: 1024 | Runs:    20.01 ms     23.30 ms        26.04 ms        28.80 ms        31.50 ms      | Avg Time:  2941.67 ms
Size: 1152 | Runs:    34.99 ms     38.55 ms        41.94 ms        45.41 ms        48.74 ms      | Avg Time:  3383.66 ms
Size: 1280 | Runs:    54.37 ms     59.81 ms        65.42 ms        70.91 ms        76.59 ms      | Avg Time:  5490.28 ms
Size: 1408 | Runs:    83.88 ms     90.69 ms        97.75 ms       104.77 ms       111.73 ms      | Avg Time:  6932.65 ms
Size: 1536 | Runs:   122.69 ms    133.68 ms       144.67 ms       155.52 ms       166.49 ms      | Avg Time: 10837.75 ms
Size: 1664 | Runs:   179.08 ms    191.45 ms       203.91 ms       216.81 ms       229.48 ms      | Avg Time: 12454.53 ms
Size: 1792 | Runs:   246.50 ms    262.61 ms       278.76 ms       294.67 ms       310.68 ms      | Avg Time: 16088.81 ms
Size: 1920 | Runs:   330.43 ms    350.19 ms       369.93 ms       389.74 ms       409.37 ms      | Avg Time: 19560.68 ms
Size: 2048 | Runs:   479.02 ms    549.02 ms       619.05 ms       686.22 ms       754.45 ms      | Avg Time: 68797.45 ms

Processes: 9
Size:  128 | Runs:     0.10 ms      0.14 ms         0.18 ms         0.23 ms         0.28 ms      | Avg Time:    55.66 ms
Size:  256 | Runs:     0.41 ms      0.48 ms         0.53 ms         0.57 ms         0.72 ms      | Avg Time:    75.62 ms
Size:  384 | Runs:     0.92 ms      1.09 ms         1.27 ms         1.39 ms         1.55 ms      | Avg Time:   158.95 ms
Size:  512 | Runs:     1.95 ms      2.28 ms         2.68 ms         3.08 ms         3.50 ms      | Avg Time:   371.08 ms
Size:  640 | Runs:     4.26 ms      4.90 ms         5.53 ms         6.33 ms         6.96 ms      | Avg Time:   658.76 ms
Size:  768 | Runs:     8.21 ms      9.48 ms        10.58 ms        11.83 ms        13.10 ms      | Avg Time:  1182.03 ms
Size:  896 | Runs:    14.83 ms     16.58 ms        18.07 ms        19.71 ms        21.19 ms      | Avg Time:  1579.19 ms
Size: 1024 | Runs:    24.83 ms     27.50 ms        30.43 ms        33.40 ms        36.96 ms      | Avg Time:  3092.52 ms
Size: 1152 | Runs:    40.76 ms     44.59 ms        48.14 ms        52.17 ms        55.91 ms      | Avg Time:  3706.33 ms
Size: 1280 | Runs:    62.12 ms     67.98 ms        74.12 ms        80.31 ms        86.44 ms      | Avg Time:  6019.54 ms
Size: 1408 | Runs:    94.31 ms    101.88 ms       109.06 ms       116.39 ms       123.88 ms      | Avg Time:  7382.27 ms
Size: 1536 | Runs:   135.41 ms    146.75 ms       157.83 ms       168.58 ms       179.50 ms      | Avg Time: 10983.67 ms
Size: 1664 | Runs:   192.66 ms    205.35 ms       217.78 ms       230.36 ms       242.63 ms      | Avg Time: 12488.45 ms
Size: 1792 | Runs:   260.33 ms    276.87 ms       294.84 ms       312.52 ms       329.36 ms      | Avg Time: 17173.06 ms
Size: 1920 | Runs:   350.66 ms    373.13 ms       394.21 ms       415.92 ms       437.46 ms      | Avg Time: 21446.90 ms
Size: 2048 | Runs:   493.37 ms    560.02 ms       622.99 ms       690.42 ms       757.61 ms      | Avg Time: 63791.52 ms

Processes: 10
Size:  128 | Runs:     0.07 ms      0.15 ms         0.21 ms         0.29 ms         0.33 ms      | Avg Time:    64.86 ms
Size:  256 | Runs:     0.42 ms      0.53 ms         0.64 ms         0.68 ms         0.72 ms      | Avg Time:    75.22 ms
Size:  384 | Runs:     0.89 ms      1.06 ms         1.23 ms         1.40 ms         1.57 ms      | Avg Time:   162.78 ms
Size:  512 | Runs:     1.90 ms      2.33 ms         2.78 ms         3.07 ms         3.45 ms      | Avg Time:   360.14 ms
Size:  640 | Runs:     4.10 ms      4.73 ms         5.51 ms         6.16 ms         6.81 ms      | Avg Time:   646.86 ms
Size:  768 | Runs:     7.98 ms      9.30 ms        10.57 ms        11.81 ms        13.04 ms      | Avg Time:  1212.67 ms
Size:  896 | Runs:    14.61 ms     16.67 ms        18.45 ms        20.22 ms        21.89 ms      | Avg Time:  1722.23 ms
Size: 1024 | Runs:    25.73 ms     28.77 ms        32.48 ms        35.98 ms        39.16 ms      | Avg Time:  3361.47 ms
Size: 1152 | Runs:    42.81 ms     46.78 ms        50.49 ms        54.68 ms        58.55 ms      | Avg Time:  3776.32 ms
Size: 1280 | Runs:    64.73 ms     71.11 ms        77.04 ms        84.17 ms        90.34 ms      | Avg Time:  6260.60 ms
Size: 1408 | Runs:    98.15 ms    105.95 ms       113.63 ms       122.40 ms       130.35 ms      | Avg Time:  7864.08 ms
Size: 1536 | Runs:   142.49 ms    156.16 ms       168.66 ms       180.80 ms       192.93 ms      | Avg Time: 12383.33 ms
Size: 1664 | Runs:   206.62 ms    219.50 ms       232.07 ms       245.35 ms       258.49 ms      | Avg Time: 12938.72 ms
Size: 1792 | Runs:   275.68 ms    293.65 ms       314.47 ms       333.48 ms       353.56 ms      | Avg Time: 18773.62 ms
Size: 1920 | Runs:   378.19 ms    402.80 ms       427.91 ms       450.08 ms       472.39 ms      | Avg Time: 23521.90 ms
Size: 2048 | Runs:   542.72 ms    611.08 ms       677.49 ms       746.17 ms       815.61 ms      | Avg Time: 68409.85 ms

Processes: 11
Size:  128 | Runs:     0.23 ms      0.39 ms         0.60 ms         0.76 ms         0.93 ms      | Avg Time:   185.17 ms
Size:  256 | Runs:     1.16 ms      1.34 ms         1.49 ms         1.55 ms         1.62 ms      | Avg Time:   134.82 ms
Size:  384 | Runs:     1.79 ms      1.94 ms         2.10 ms         2.28 ms         2.50 ms      | Avg Time:   168.57 ms
Size:  512 | Runs:     2.91 ms      3.43 ms         3.85 ms         4.29 ms         4.78 ms      | Avg Time:   431.12 ms
Size:  640 | Runs:     5.42 ms      6.17 ms         6.74 ms         7.42 ms         8.04 ms      | Avg Time:   630.76 ms
Size:  768 | Runs:     9.48 ms     10.84 ms        12.08 ms        13.32 ms        14.51 ms      | Avg Time:  1262.23 ms
Size:  896 | Runs:    16.00 ms     17.85 ms        19.75 ms        21.51 ms        23.32 ms      | Avg Time:  1709.63 ms
