(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size:  256 | Runs:  25.37ms  28.52ms  25.95ms  33.30ms  29.93ms | Avg:  28.61ms
Size:  384 | Runs:  77.45ms  80.71ms  81.87ms  78.71ms  81.13ms | Avg:  79.97ms
Size:  512 | Runs: 327.93ms 314.86ms 363.54ms 327.78ms 334.31ms | Avg: 333.68ms
Size:  640 | Runs: 734.83ms 715.54ms 609.62ms 610.44ms 719.58ms | Avg: 678.00ms
Size:  768 | Runs: 1591.39ms 1569.69ms 1535.58ms 1631.61ms 1623.02ms | Avg: 1590.26ms
Size:  896 | Runs: 2270.50ms 2086.69ms 2300.38ms 2139.62ms 2118.62ms | Avg: 2183.16ms
Size: 1024 | Runs: 4167.68ms 3706.54ms 4053.85ms 3958.60ms 3921.20ms | Avg: 3961.57ms
Size: 1152 | Runs: 5437.27ms 6070.98ms 6020.34ms 5994.61ms 5458.32ms | Avg: 5796.30ms
Size: 1280 | Runs: 8896.27ms 8512.04ms 9025.57ms 9250.83ms 11105.33ms | Avg: 9358.01ms
Size: 1408 | Runs: 10717.77ms 10650.56ms 10257.80ms 10426.29ms 10407.76ms | Avg: 10492.04ms
Size: 1536 | Runs: 18739.53ms 21787.43ms 18893.52ms 21710.00ms 22331.24ms | Avg: 20692.34ms
Size: 1664 | Runs: 18651.10ms 22103.21ms 20031.47ms 18699.62ms 20514.20ms | Avg: 19999.92ms
Size: 1792 | Runs: 26292.15ms 29216.31ms 26823.88ms 27966.16ms 28287.70ms | Avg: 27717.24ms
Size: 1920 | Runs: 32605.05ms 30905.77ms 31155.22ms 29288.18ms 29332.56ms | Avg: 30657.36ms
Size: 2048 | Runs: 57638.95ms 52663.18ms 52390.59ms 54811.77ms 74584.89ms | Avg: 58417.88ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 5 ./matmul
Size:  128 | Runs:   2.05ms   1.75ms   1.54ms   1.62ms   1.56ms | Avg:   1.71ms
Size:  256 | Runs:  29.42ms  15.69ms  19.65ms  26.16ms  25.16ms | Avg:  23.22ms
Size:  384 | Runs:  91.02ms  83.79ms  81.28ms  92.25ms  70.53ms | Avg:  83.77ms
Size:  512 | Runs: 276.17ms 277.17ms 309.14ms 304.52ms 254.27ms | Avg: 284.25ms
Size:  640 | Runs: 853.43ms 667.97ms 545.96ms 765.29ms 641.27ms | Avg: 694.78ms
Size:  768 | Runs: 1512.62ms 1638.61ms 1621.90ms 1632.83ms 1653.48ms | Avg: 1611.89ms
Size:  896 | Runs: 2272.14ms 2119.04ms 2207.45ms 2223.77ms 2012.18ms | Avg: 2166.92ms
Size: 1024 | Runs: 3844.65ms 4787.70ms 3942.40ms 3941.83ms 4239.22ms | Avg: 4151.16ms
Size: 1152 | Runs: 5573.54ms 4741.96ms 5005.63ms 5305.95ms 5197.57ms | Avg: 5164.93ms
Size: 1280 | Runs: 8071.34ms 7881.20ms 8124.88ms 8400.48ms 8533.97ms | Avg: 8202.37ms
Size: 1408 | Runs: 9514.37ms 10840.52ms 12372.57ms 10605.26ms 10336.25ms | Avg: 10733.79ms
Size: 1536 | Runs: 17367.53ms 17025.04ms 17793.13ms 17651.78ms 17132.67ms | Avg: 17394.03ms
Size: 1664 | Runs: 17602.02ms 17760.89ms 19870.70ms 17301.68ms 17130.45ms | Avg: 17933.15ms
Size: 1792 | Runs: 26116.71ms 25163.69ms 24557.17ms 24490.07ms 23842.89ms | Avg: 24834.11ms
Size: 1920 | Runs: 27167.26ms 27630.89ms 27901.01ms 27650.56ms 29723.38ms | Avg: 28014.62ms
Size: 2048 | Runs: 47071.38ms 46737.85ms 48359.55ms 46059.75ms 46430.46ms | Avg: 46931.80ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 6 ./matmul
Size:  128 | Runs:   2.46ms   2.45ms   2.38ms   2.31ms   2.49ms | Avg:   2.42ms
Size:  256 | Runs:  25.01ms  23.09ms  22.61ms  21.15ms  22.12ms | Avg:  22.80ms
Size:  384 | Runs:  78.06ms  83.19ms  75.24ms  58.83ms  65.35ms | Avg:  72.13ms
Size:  512 | Runs: 233.21ms 245.05ms 323.72ms 272.10ms 344.79ms | Avg: 283.77ms
Size:  640 | Runs: 542.32ms 569.81ms 599.93ms 609.69ms 608.93ms | Avg: 586.13ms
Size:  768 | Runs: 1278.80ms 1338.57ms 1320.20ms 1283.74ms 1474.82ms | Avg: 1339.23ms
