Matrix,Size,ThreadsPolicy,Time(ms),Correct
1280,15,STATIC,1298.9,Yes
1280,16,STATIC,1310.33,Yes
1408,1,STATIC,6521.61,Yes
1408,2,STATIC,3948.69,Yes
1408,3,STATIC,2741.01,Yes
1408,4,STATIC,2221.03,Yes
1408,5,STATIC,1986.1,Yes
1408,6,STATIC,1792.32,Yes
1408,7,STATIC,1631.46,Yes
1408,8,STATIC,1507.03,Yes
1408,9,STATIC,1417.52,Yes
1408,10,STATIC,1453.84,Yes
1408,11,STATIC,1467.59,Yes
1408,12,STATIC,1528.9,Yes
1408,13,STATIC,1703.2,Yes
1408,14,STATIC,1644.92,Yes
1408,15,STATIC,1687.65,Yes
1408,16,STATIC,1706.45,Yes
1536,1,STATIC,12564.88,Yes
1536,2,STATIC,6127.03,Yes
1536,3,STATIC,4677.04,Yes
1536,4,STATIC,3870.85,Yes
1536,5,STATIC,3210.96,Yes
1536,6,STATIC,2828.94,Yes
1536,7,STATIC,2537.72,Yes
1536,8,STATIC,2529.32,Yes
1536,9,STATIC,2487.33,Yes
1536,10,STATIC,2399.66,Yes
1536,11,STATIC,2416.95,Yes
1536,12,STATIC,2617.23,Yes
1536,13,STATIC,2752.69,Yes
1536,14,STATIC,2703.45,Yes
1536,15,STATIC,2676.11,Yes
1536,16,STATIC,2720.14,Yes
1664,1,STATIC,11523.19,Yes
1664,2,STATIC,6391.67,Yes
1664,3,STATIC,4852.1,Yes
1664,4,STATIC,3904.26,Yes
1664,5,STATIC,3417.37,Yes
1664,6,STATIC,3143.24,Yes
1664,7,STATIC,2734.22,Yes
1664,8,STATIC,2702.15,Yes
1664,9,STATIC,2654.1,Yes
1664,10,STATIC,2802.31,Yes
1664,11,STATIC,3040.62,Yes
1664,12,STATIC,2795.86,Yes
1664,13,STATIC,3018.93,Yes
1664,14,STATIC,3244.78,Yes
1664,15,STATIC,3495.79,Yes
1664,16,STATIC,3544.16,Yes
1792,1,STATIC,20614.35,Yes
1792,2,STATIC,10694.66,Yes
1792,3,STATIC,7570.37,Yes
1792,4,STATIC,6139.95,Yes
1792,5,STATIC,5341.64,Yes
1792,6,STATIC,4852.26,Yes
1792,7,STATIC,4487.61,Yes
1792,8,STATIC,4637.29,Yes
1792,9,STATIC,4368.66,Yes
1792,10,STATIC,4584.61,Yes
1792,11,STATIC,4504.64,Yes
1792,12,STATIC,4638.65,Yes
1792,13,STATIC,5002.9,Yes
1792,14,STATIC,5466.58,Yes
1792,15,STATIC,5277.5,Yes
1792,16,STATIC,5225.07,Yes
1920,1,STATIC,20619.47,Yes
1920,2,STATIC,11543.85,Yes
1920,3,STATIC,7694.33,Yes
1920,4,STATIC,6092.57,Yes
1920,5,STATIC,5553.61,Yes
1920,6,STATIC,4943.16,Yes
1920,7,STATIC,4527.12,Yes
1920,8,STATIC,4497.58,Yes
1920,9,STATIC,4633.22,Yes
1920,10,STATIC,4631.64,Yes
1920,11,STATIC,4542.87,Yes
1920,12,STATIC,4695.3,Yes
1920,13,STATIC,4807.14,Yes
1920,14,STATIC,4988.05,Yes
1920,15,STATIC,5404.03,Yes
1920,16,STATIC,5889.5,Yes
2048,1,STATIC,65157.8,Yes
2048,2,STATIC,27497.7,Yes
2048,3,STATIC,20342.95,Yes
2048,4,STATIC,15963.14,Yes
2048,5,STATIC,13284.65,Yes
2048,6,STATIC,11286.54,Yes
2048,7,STATIC,11570.55,Yes
2048,8,STATIC,11044.59,Yes
2048,9,STATIC,9820.31,Yes
2048,10,STATIC,9116.69,Yes
2048,11,STATIC,8677.68,Yes
2048,12,STATIC,9354.94,Yes
2048,13,STATIC,9068.99,Yes
2048,14,STATIC,7920.47,Yes
2048,15,STATIC,7974.97,Yes
2048,16,STATIC,7882.31,Yes
128,1,DYNAMIC,5.05,Yes
128,2,DYNAMIC,2.49,Yes
128,3,DYNAMIC,1.73,Yes
128,4,DYNAMIC,1.73,Yes
128,5,DYNAMIC,1.35,Yes
128,6,DYNAMIC,1.48,Yes
128,7,DYNAMIC,1.22,Yes
128,8,DYNAMIC,0.95,Yes
128,9,DYNAMIC,1.3,Yes
128,10,DYNAMIC,1.28,Yes
128,11,DYNAMIC,1.09,Yes
128,12,DYNAMIC,1.03,Yes
128,13,DYNAMIC,0.96,Yes
128,14,DYNAMIC,1.06,Yes
128,15,DYNAMIC,1.05,Yes
128,16,DYNAMIC,0.96,Yes
256,1,DYNAMIC,37.17,Yes
256,2,DYNAMIC,18.67,Yes
